day,soil_moisture_pct,temperature_c,humidity_pct,dli_mol_m2_day,soil_n_mg_kg,soil_p_mg_kg,soil_k_mg_kg,n_demand_g_plant_day,p2o5_demand_g_plant_day,k2o_demand_g_plant_day
1,75.0,24.0,75.0,10.0,200.0,35.0,275.0,0.025,0.008,0.02
2,75.0,24.0,75.0,10.0,199.0,35.0,275.0,0.025,0.008,0.02
3,75.0,24.0,74.0,10.0,199.0,35.0,274.0,0.025,0.008,0.02
4,75.0,24.0,74.0,10.0,198.0,35.0,274.0,0.025,0.008,0.02
5,75.0,24.0,73.0,11.0,198.0,35.0,273.0,0.025,0.008,0.02
6,75.0,25.0,73.0,11.0,197.0,35.0,273.0,0.025,0.008,0.02
7,75.0,25.0,72.0,11.0,197.0,35.0,272.0,0.025,0.008,0.02
8,73.0,25.0,72.0,11.0,196.0,35.0,272.0,0.04,0.012,0.035
9,73.0,25.0,72.0,11.0,196.0,35.0,271.0,0.04,0.012,0.035
10,73.0,25.0,71.0,12.0,195.0,35.0,271.0,0.04,0.012,0.035
11,73.0,25.0,71.0,12.0,195.0,35.0,270.0,0.04,0.012,0.035
12,73.0,25.0,70.0,12.0,194.0,35.0,270.0,0.04,0.012,0.035
13,72.0,26.0,70.0,12.0,194.0,35.0,269.0,0.04,0.012,0.035
14,72.0,26.0,69.0,12.0,193.0,35.0,269.0,0.04,0.012,0.035
15,72.0,26.0,68.0,13.0,193.0,34.0,268.0,0.06,0.016,0.055
16,72.0,26.0,68.0,13.0,192.0,34.0,268.0,0.06,0.016,0.055
17,72.0,26.0,68.0,13.0,192.0,34.0,267.0,0.06,0.016,0.055
18,72.0,26.0,67.0,13.0,191.0,34.0,267.0,0.06,0.016,0.055
19,72.0,26.0,67.0,13.0,191.0,34.0,266.0,0.06,0.016,0.055
20,72.0,26.0,67.0,14.0,190.0,34.0,266.0,0.06,0.016,0.055
21,72.0,26.0,67.0,14.0,190.0,34.0,265.0,0.06,0.016,0.055
22,72.0,26.0,67.0,14.0,189.0,34.0,265.0,0.08,0.02,0.075
23,72.0,26.0,66.0,14.0,189.0,34.0,264.0,0.08,0.02,0.075
24,72.0,26.0,66.0,14.0,188.0,34.0,264.0,0.08,0.02,0.075
25,72.0,26.0,65.0,15.0,188.0,34.0,263.0,0.08,0.02,0.075
26,72.0,26.0,65.0,15.0,187.0,34.0,263.0,0.08,0.02,0.075
27,72.0,27.0,64.0,15.0,187.0,34.0,262.0,0.08,0.02,0.075
28,72.0,27.0,64.0,15.0,186.0,34.0,262.0,0.08,0.02,0.075
29,75.0,27.0,64.0,16.0,186.0,34.0,261.0,0.1,0.024,0.1
30,75.0,27.0,64.0,16.0,185.0,34.0,261.0,0.1,0.024,0.1
31,75.0,27.0,64.0,16.0,185.0,34.0,268.0,0.1,0.024,0.1
32,75.0,27.0,63.0,16.0,184.0,34.0,271.0,0.1,0.024,0.1
33,75.0,27.0,63.0,16.0,184.0,34.0,274.0,0.1,0.024,0.1
34,75.0,27.0,63.0,17.0,183.0,34.0,278.0,0.1,0.024,0.1
35,75.0,27.0,62.0,17.0,183.0,34.0,281.0,0.1,0.024,0.1
36,75.0,26.0,62.0,17.0,182.0,34.0,284.0,0.12,0.028,0.13
37,75.0,26.0,62.0,17.0,182.0,34.0,287.0,0.12,0.028,0.13
38,75.0,26.0,62.0,18.0,181.0,34.0,290.0,0.12,0.028,0.13
39,75.0,26.0,62.0,18.0,181.0,34.0,294.0,0.12,0.028,0.13
40,75.0,26.0,61.0,18.0,180.0,34.0,297.0,0.12,0.028,0.13
41,75.0,26.0,61.0,18.0,180.0,33.0,300.0,0.12,0.028,0.13
42,75.0,26.0,61.0,18.0,179.0,33.0,303.0,0.12,0.028,0.13
43,75.0,26.0,61.0,19.0,179.0,33.0,306.0,0.135,0.03,0.155
44,75.0,26.0,60.0,19.0,178.0,33.0,309.0,0.135,0.03,0.155
45,75.0,26.0,60.0,19.0,178.0,33.0,312.0,0.135,0.03,0.155
46,75.0,26.0,60.0,19.0,177.0,33.0,316.0,0.135,0.03,0.155
47,75.0,26.0,60.0,20.0,177.0,33.0,319.0,0.135,0.03,0.155
48,75.0,26.0,59.0,20.0,176.0,33.0,322.0,0.135,0.03,0.155
49,75.0,26.0,59.0,20.0,176.0,33.0,325.0,0.135,0.03,0.155
50,75.0,26.0,59.0,20.0,175.0,33.0,328.0,0.145,0.032,0.18
51,75.0,26.0,59.0,21.0,175.0,33.0,332.0,0.145,0.032,0.18
52,75.0,26.0,58.0,21.0,174.0,33.0,335.0,0.145,0.032,0.18
53,75.0,26.0,58.0,21.0,174.0,33.0,338.0,0.145,0.032,0.18
54,75.0,26.0,58.0,21.0,173.0,33.0,341.0,0.145,0.032,0.18
55,75.0,26.0,58.0,22.0,173.0,33.0,344.0,0.145,0.032,0.18
56,75.0,26.0,57.0,22.0,172.0,33.0,347.0,0.145,0.032,0.18
57,73.0,25.0,61.0,22.0,172.0,33.0,350.0,0.155,0.032,0.21
58,73.0,25.0,61.0,22.0,171.0,33.0,354.0,0.155,0.032,0.21
59,73.0,25.0,61.0,22.0,171.0,33.0,357.0,0.155,0.032,0.21
60,73.0,25.0,61.0,23.0,170.0,32.0,360.0,0.155,0.032,0.21
61,73.0,25.0,60.0,23.0,170.0,32.0,359.0,0.155,0.032,0.21
62,73.0,25.0,60.0,23.0,169.0,32.0,357.0,0.155,0.032,0.21
63,73.0,25.0,60.0,23.0,169.0,32.0,356.0,0.155,0.032,0.21
64,73.0,25.0,60.0,23.0,168.0,32.0,355.0,0.155,0.032,0.21
65,73.0,25.0,59.0,24.0,168.0,32.0,353.0,0.155,0.032,0.21
66,73.0,25.0,59.0,24.0,167.0,32.0,352.0,0.155,0.032,0.21
67,73.0,25.0,59.0,24.0,167.0,32.0,351.0,0.155,0.032,0.21
68,73.0,25.0,59.0,24.0,166.0,32.0,349.0,0.155,0.032,0.21
69,73.0,25.0,58.0,24.0,166.0,32.0,348.0,0.155,0.032,0.21
70,73.0,25.0,58.0,25.0,165.0,32.0,347.0,0.155,0.032,0.21
71,70.0,24.0,58.0,25.0,165.0,32.0,345.0,0.145,0.028,0.23
72,70.0,24.0,58.0,25.0,164.0,32.0,344.0,0.145,0.028,0.23
73,70.0,24.0,58.0,25.0,164.0,32.0,343.0,0.145,0.028,0.23
74,70.0,24.0,58.0,25.0,163.0,32.0,341.0,0.145,0.028,0.23
75,70.0,24.0,58.0,25.0,163.0,32.0,340.0,0.145,0.028,0.23
76,70.0,24.0,58.0,25.0,162.0,32.0,339.0,0.145,0.028,0.23
77,70.0,24.0,58.0,25.0,162.0,32.0,337.0,0.145,0.028,0.23
78,70.0,24.0,58.0,25.0,161.0,32.0,336.0,0.145,0.028,0.23
79,70.0,24.0,58.0,25.0,161.0,32.0,335.0,0.145,0.028,0.23
80,70.0,24.0,58.0,25.0,160.0,32.0,333.0,0.145,0.028,0.23
81,70.0,24.0,58.0,25.0,160.0,32.0,332.0,0.145,0.028,0.23
82,70.0,24.0,58.0,25.0,159.0,32.0,331.0,0.145,0.028,0.23
83,70.0,24.0,58.0,25.0,159.0,32.0,329.0,0.145,0.028,0.23
84,70.0,24.0,58.0,25.0,158.0,32.0,328.0,0.145,0.028,0.23
85,70.0,24.0,57.0,25.0,158.0,31.0,324.0,0.125,0.022,0.22
86,70.0,24.0,57.0,25.0,157.0,31.0,322.0,0.125,0.022,0.22
87,70.0,24.0,57.0,25.0,157.0,31.0,320.0,0.125,0.022,0.22
88,70.0,24.0,57.0,25.0,156.0,31.0,318.0,0.125,0.022,0.22
89,70.0,24.0,57.0,25.0,156.0,31.0,317.0,0.125,0.022,0.22
90,70.0,24.0,57.0,25.0,155.0,31.0,315.0,0.125,0.022,0.22
91,68.0,23.0,59.0,25.0,155.0,31.0,313.0,0.125,0.022,0.22
92,68.0,23.0,59.0,25.0,154.0,31.0,311.0,0.125,0.022,0.22
93,68.0,23.0,58.0,25.0,154.0,31.0,309.0,0.125,0.022,0.22
94,68.0,23.0,58.0,25.0,153.0,31.0,307.0,0.125,0.022,0.22
95,68.0,23.0,58.0,25.0,153.0,31.0,305.0,0.125,0.022,0.22
96,68.0,23.0,58.0,25.0,152.0,31.0,304.0,0.125,0.022,0.22
97,68.0,23.0,57.0,25.0,152.0,31.0,302.0,0.125,0.022,0.22
98,68.0,23.0,57.0,25.0,151.0,31.0,300.0,0.125,0.022,0.22
99,68.0,23.0,57.0,25.0,151.0,31.0,298.0,0.125,0.022,0.22
100,68.0,23.0,57.0,25.0,150.0,31.0,296.0,0.125,0.022,0.22
101,65.0,22.0,56.0,24.0,150.0,30.0,294.0,0.09,0.015,0.17
102,65.0,22.0,56.0,24.0,149.0,30.0,293.0,0.09,0.015,0.17
103,65.0,22.0,56.0,24.0,149.0,30.0,292.0,0.09,0.015,0.17
104,65.0,22.0,56.0,24.0,148.0,30.0,291.0,0.09,0.015,0.17
105,65.0,22.0,56.0,24.0,148.0,30.0,290.0,0.09,0.015,0.17
106,65.0,22.0,56.0,24.0,147.0,30.0,289.0,0.09,0.015,0.17
107,65.0,22.0,56.0,24.0,147.0,30.0,288.0,0.09,0.015,0.17
108,65.0,22.0,56.0,24.0,146.0,30.0,287.0,0.09,0.015,0.17
109,65.0,22.0,56.0,24.0,146.0,30.0,286.0,0.09,0.015,0.17
110,65.0,22.0,56.0,24.0,145.0,30.0,286.0,0.09,0.015,0.17
111,65.0,22.0,56.0,24.0,145.0,30.0,285.0,0.09,0.015,0.17
112,65.0,22.0,56.0,24.0,144.0,30.0,284.0,0.09,0.015,0.17
113,65.0,22.0,55.0,23.0,144.0,30.0,283.0,0.09,0.015,0.17
114,65.0,22.0,55.0,23.0,143.0,30.0,282.0,0.09,0.015,0.17
115,65.0,22.0,55.0,23.0,143.0,30.0,281.0,0.09,0.015,0.17
116,65.0,22.0,55.0,23.0,142.0,30.0,280.0,0.09,0.015,0.17
117,65.0,22.0,55.0,23.0,142.0,30.0,279.0,0.09,0.015,0.17
118,65.0,22.0,55.0,23.0,141.0,30.0,278.0,0.09,0.015,0.17
119,65.0,22.0,54.0,23.0,141.0,30.0,277.0,0.09,0.015,0.17
120,65.0,22.0,54.0,23.0,140.0,30.0,276.0,0.09,0.015,0.17
